# Basic macro run statistics:,,,,,,,,,,,,,,,,,,,
# Date and time: 2023-08-14 18:09:28,,,,,,,,,,,,,,,,,,,
# Macro version: 13,,,,,,,,,,,,,,,,,,,
# Channel: 1,,,,,,,,,,,,,,,,,,,
# Cell (ROI) size interval: 5-Infinity um^2,,,,,,,,,,,,,,,,,,,
# Coefficient of variance threshold: 0,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
exp_code,BR_date,strain,medium,time,condition,frame,mean_background,cell_no,patch_density(find_maxima),patch_density(analyze_particles),area_fraction(patch_vs_ROI),length,length_SD,width,width_SD,size,size_SD,mean_patch_intensity,mean_patch_intensity_SD
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,12,4.7492,4.5765,26.8254,0.3289,0.09475,0.2169,0.05131,0.05862,0.02892,7199.3439,3732.5351
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,13,4.1668,3.3731,19.7568,0.3313,0.06415,0.2212,0.04579,0.05857,0.01994,5258.3103,3216.748
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,14,4.6324,4.382,27.1193,0.3485,0.105,0.2147,0.05463,0.06189,0.03163,6603.746,3304.5954
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,15,4.3232,4.4673,27.4614,0.334,0.1244,0.2198,0.05533,0.06147,0.03504,6473.7478,3155.8426
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,16,5.0058,4.7782,31.4744,0.3531,0.1184,0.2256,0.05503,0.06587,0.03555,7979.586,4157.856
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,17,4.9766,4.9766,26.649,0.3157,0.09842,0.2091,0.04407,0.05355,0.02628,6733.6964,3599.334
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,18,4.5767,4.5767,25.5577,0.3121,0.1088,0.2151,0.05361,0.05584,0.03103,5821.6894,2972.2887
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,19,4.8321,4.487,26.6126,0.3432,0.09661,0.2165,0.04073,0.05931,0.0219,7160.0396,3600.9927
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,20,4.9778,3.7926,19.3174,0.3102,0.09259,0.2031,0.0494,0.05093,0.02137,4882.0083,2313.4762
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,21,3.8991,3.8991,20.1195,0.3015,0.07975,0.2088,0.0478,0.0516,0.02364,6965.1812,5931.2787
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,22,3.4183,3.6136,19.3597,0.3383,0.1129,0.1942,0.04775,0.05357,0.02652,6512.0618,4798.244
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,23,3.9967,3.3306,18.0272,0.3168,0.0909,0.2073,0.04518,0.05413,0.02464,9295.0755,4675.1526
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,24,3.8569,3.7672,23.3581,0.3349,0.1083,0.2255,0.05034,0.062,0.03134,5373.0388,3755.7282
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,25,3.1176,2.982,15.49,0.3335,0.07847,0.1965,0.03391,0.05194,0.01578,2778.4303,2369.722
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,26,3.7734,4.025,27.3218,0.3697,0.1379,0.2196,0.06281,0.06788,0.04172,7751.2313,3840.0287
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,27,4.6586,4.6586,26.693,0.3295,0.07801,0.2162,0.0457,0.0573,0.02181,7055.0058,3639.0619
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,28,5.2272,5.3488,28.9758,0.3158,0.108,0.2068,0.05565,0.05417,0.0304,7554.7354,3856.9563
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,1,4.6026,4.219,24.6769,0.3318,0.1008,0.218,0.03072,0.05849,0.02478,6627.4275,3559.1833
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,2,4.6259,4.4899,28.9704,0.3646,0.1405,0.217,0.03266,0.06452,0.03191,7845.9313,4645.5357
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,3,4.787,4.8847,27.6863,0.3228,0.1067,0.2128,0.04865,0.05668,0.02905,8935.8267,5339.0087
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,4,4.6,4.7023,27.2784,0.3209,0.07695,0.2221,0.05299,0.05801,0.02654,6983.0078,4245.1475
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,5,4.1693,4.3679,27.1898,0.3604,0.1196,0.2155,0.04361,0.06225,0.02661,7895.7302,4476.7246
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,6,4.6816,4.389,31.0175,0.3558,0.1078,0.2387,0.06819,0.07067,0.03818,8517.1125,4460.3525
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,7,3.9922,4.4052,26.7398,0.348,0.1504,0.2133,0.04675,0.0607,0.03364,7988.5728,4450.6042
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,8,4.8159,4.521,31.8278,0.3661,0.1253,0.2301,0.06113,0.0704,0.0396,7491.4469,3994.4728
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,9,5.1809,5.0514,30.5159,0.3324,0.08767,0.223,0.04716,0.06041,0.02538,6774.4219,3762.1082
